                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1474,                0.90027,                 1.2653,                0.89779,                0.88539,                0.93308,                 0.6543,                 1.0713,                0.65701,                 1.2966,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1385,                0.89614,                 1.2613,                0.90809,                0.87606,                0.93781,                0.66331,                 1.0442,                 0.6478,                 1.2714,               0.009307,               0.009307,               0.009307
                     37,                 1.1408,                0.89007,                 1.2589,                0.89914,                0.88049,                0.93368,                0.66342,                  1.047,                 0.6459,                 1.2844,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1373,                0.89028,                 1.2607,                0.90668,                0.88224,                0.94057,                0.65949,                 1.0542,                0.63887,                 1.2826,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1293,                0.87648,                 1.2512,                0.90633,                0.87986,                0.93564,                0.66268,                 1.0538,                0.63442,                 1.2816,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1143,                0.85614,                 1.2433,                0.90507,                0.88565,                0.93891,                0.66572,                 1.0458,                0.62354,                 1.2741,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1161,                0.86274,                 1.2436,                0.89294,                0.89179,                0.93798,                0.66707,                 1.0411,                0.62821,                 1.2786,               0.009208,               0.009208,               0.009208
                     42,                 1.1152,                0.85574,                 1.2444,                0.91384,                0.88822,                0.94262,                0.67425,                 1.0265,                0.61053,                 1.2579,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1056,                0.86253,                 1.2347,                0.89749,                0.88852,                 0.9399,                0.68366,                0.99252,                0.61094,                 1.2367,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.1018,                0.84752,                 1.2308,                 0.9097,                0.89589,                0.94452,                0.67758,                 1.0197,                0.60848,                 1.2514,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0956,                0.83892,                 1.2322,                0.91991,                0.88298,                0.94482,                0.68844,                0.99864,                0.59163,                 1.2415,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0977,                0.83612,                 1.2306,                0.91125,                0.89482,                0.94621,                0.69011,                0.99152,                0.59598,                  1.237,               0.009109,               0.009109,               0.009109
                     47,                 1.0841,                0.82376,                 1.2189,                0.91417,                0.89373,                0.94769,                0.69169,                0.99225,                0.59193,                 1.2364,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0847,                0.83183,                 1.2265,                0.92472,                0.88769,                0.94641,                0.68923,                0.99925,                0.58716,                 1.2465,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0818,                0.80931,                 1.2178,                0.90248,                0.90421,                0.94751,                0.69607,                0.97789,                 0.5778,                 1.2317,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0799,                 0.8131,                 1.2163,                0.91526,                0.89091,                0.94359,                0.69621,                0.97043,                0.57161,                 1.2244,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0654,                0.79584,                 1.2095,                0.91682,                0.90157,                0.94892,                0.69792,                0.98018,                0.56819,                  1.233,                0.00901,                0.00901,                0.00901
                     52,                 1.0765,                0.80673,                 1.2204,                0.90894,                0.90343,                0.95004,                0.69749,                 0.9801,                0.57074,                 1.2327,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0661,                0.80119,                 1.2119,                0.91079,                0.90723,                0.95278,                0.70651,                0.95807,                0.55825,                 1.2246,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0575,                0.79256,                 1.2025,                0.91867,                0.90635,                 0.9554,                0.70536,                0.96766,                0.55721,                 1.2304,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0478,                 0.7885,                 1.2027,                0.92018,                0.90225,                0.95435,                 0.7071,                0.95639,                0.55222,                 1.2263,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.0547,                0.79467,                 1.2079,                0.91301,                0.90952,                0.95308,                0.71175,                0.93952,                0.54858,                 1.2075,               0.008911,               0.008911,               0.008911
                     57,                 1.0481,                0.78375,                 1.1982,                0.92401,                0.89915,                0.95397,                0.71487,                0.94647,                0.54788,                  1.206,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.046,                 0.7831,                 1.1975,                0.91016,                0.90638,                0.95192,                0.71011,                0.94756,                0.55277,                 1.2111,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0489,                0.77153,                 1.1987,                0.91532,                0.89928,                0.95238,                0.71354,                0.93678,                0.54448,                 1.2032,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0396,                0.77208,                 1.1956,                0.90803,                 0.9101,                0.95293,                0.71064,                0.93976,                0.54343,                 1.2067,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0361,                0.76906,                 1.1926,                0.91141,                0.91341,                0.95353,                 0.7146,                0.93864,                0.53765,                 1.2076,               0.008812,               0.008812,               0.008812
                     62,                 1.0344,                0.77172,                  1.193,                0.92159,                0.90858,                0.95502,                0.72027,                 0.9279,                0.52758,                 1.1999,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0346,                0.76671,                 1.1899,                0.92786,                0.90038,                0.95605,                0.72252,                0.91946,                0.52164,                 1.1944,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0311,                0.76733,                  1.189,                 0.9218,                0.90122,                0.95723,                0.72501,                0.90902,                0.52334,                 1.1866,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.0395,                0.76577,                 1.1973,                0.92376,                0.90505,                0.95845,                0.72777,                0.91542,                0.51966,                 1.1943,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0283,                0.76208,                  1.187,                0.91795,                0.91183,                0.95804,                0.72908,                0.91013,                0.52032,                 1.1949,               0.008713,               0.008713,               0.008713
                     67,                 1.0193,                0.74784,                 1.1793,                0.91577,                 0.9207,                0.95935,                0.73157,                0.90098,                0.51343,                  1.188,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.0188,                0.75709,                 1.1812,                 0.9226,                0.90683,                0.95884,                0.73263,                0.90211,                0.50951,                 1.1892,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.0195,                0.75514,                 1.1828,                0.93479,                0.90385,                 0.9598,                0.73374,                0.89672,                0.50797,                 1.1835,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.0165,                0.74649,                 1.1795,                0.93187,                0.90783,                 0.9595,                0.73285,                0.89891,                0.50758,                 1.1848,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.0096,                0.74452,                 1.1784,                0.93032,                 0.9067,                0.95946,                0.73138,                0.89985,                0.50705,                 1.1871,               0.008614,               0.008614,               0.008614
